"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","high.quality"
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,0
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,0
9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,0
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,0
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,0
6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,0
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,0
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,1
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,0
7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,0
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,0
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,0
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,0
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,0
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,0
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,1
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,0
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,0
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,0
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,0
7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,0
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,0
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,0
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,0
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,0
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,0
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,0
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,1
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,0
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,0
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,0
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,0
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,0
7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,0
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,0
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,0
7.1,0.53,0.07,1.7,0.071,15,24,0.9951,3.29,0.66,10.8,0
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,0
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,0
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,0
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,0
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,0
11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,0
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,1
9.8,0.5,0.49,2.6,0.25,5,20,0.999,3.31,0.79,10.7,0
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,0
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,0
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,0
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,0
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,0
8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,0
6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,0
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,0
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,0
12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,0
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,0
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,0
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,0
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,0
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,0
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,0
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,0
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,0
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,0
9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,0
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,0
8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,0
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,1
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,0
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,0
7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,0
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,0
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,0
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,0
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,0
12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,1
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,0
6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,0
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,0
7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,0
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,0
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,0
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,0
6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,0
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,0
5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,0
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,0
6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,0
7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,0
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,1
8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,0
7.9,0.29,0.49,2.2,0.096,21,59,0.99714,3.31,0.67,10.1,0
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,0
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,0
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,0
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,0
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,0
6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,0
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,0
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,0
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,0
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,0
12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,0
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,0
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,0
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,0
9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,0
7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,0
11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,0
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,0
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,0
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,0
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,0
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,0
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,0
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,0
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,0
8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,1
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,0
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,0
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,0
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,1
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,0
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,0
9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,1
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,0
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,1
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,0
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,0
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,1
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,0
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,1
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,1
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,0
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,1
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,0
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,0
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,1
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,0
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,0
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,1
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,0
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,0
7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,1
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,1
11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,0
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,0
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,1
15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,0
6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,0
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,0
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,1
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,0
8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,1
6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,0
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,1
10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,1
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,0
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,1
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,0
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,0
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,0
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,0
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,0
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,0
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,1
10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,1
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,1
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,0
6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,0
